08-09-18-26-32-+1    (2017/11/01 M)  n°  104  |X.... | 183277| |   m10=|..XX..X.X.X......|  (...1. | 211..)|   m49=|......xXX|x......xXx|.....xXx..|.xXx......|..........| 
06-07-23-35-38-+7    (2017/11/04 S)  n°  105  |X.... | 483834| |   m10=|..2....X...XX....|  (..1.. | 2..2.)|   m49=|....xXXx.|..........|..xXx.....|....xXxxXx|..........| 
27-30-45-48-49-+1    (2017/11/06 L)  n°  106  |...X. |1904346| |   m10=|.........XX....X2|  (...1. | ..1.3)|   m49=|.........|..........|......xXxx|Xx........|....xXxxXX| 
02-13-26-37-41-+5    (2017/11/08 M)  n°  107  |X.... | 719281| |   m10=|X...X...X...XX...|  (11..1 | ..11.)|   m49=|xXx......|..xXx.....|.....xXx..|......xXx.|xXx.......| 
01-36-40-47-48-+3    (2017/11/11 S)  n°  108  |...X. |1706859| |   m10=|X...........XX.XX|  (1...1 | ...12)|   m49=|Xx.......|..........|..........|.....xXx.x|Xx....xXXx| 
03-24-29-30-43-+5    (2017/11/13 L)  n°  109  |.X... | 877951| |   m10=|.X......XXX...X..|  (1.111 | ..1..)|   m49=|.xXx.....|..........|...xXx..xX|Xx........|..xXx.....| 
10-12-14-16-35-+6    (2017/11/15 M)  n°  110  |X.... | 279972| |   m10=|...X2X.....X.....|  (.3... | .1.1.)|   m49=|........x|XxXxXxXx..|..........|....xXx...|..........| 
09-13-17-37-48-+1    (2017/11/18 S)  n°  111  |...X. |1593479| |   m10=|...XXX......X...X|  (.1... | 11.11)|   m49=|.......xX|x.xXx.xXx.|..........|......xXx.|.......xXx| 
06-30-35-40-43-+3    (2017/11/20 L)  n°  112  |.X... | 939315| |   m10=|..X.......XX.XX..|  (...12 | 1..1.)|   m49=|....xXx..|..........|.........x|Xx..xXx..x|XxxXx.....| 
01-02-10-30-39-+8    (2017/11/22 M)  n°  113  |X.... | 525778| |   m10=|2..X......X..X...|  (21.1. | ...1.)|   m49=|XXx.....x|Xx........|.........x|Xx......xX|x.........| 
01-02-43-47-48-+10   (2017/11/25 S)  n°  114  |...X. |1708605| |   m10=|2.............XXX|  (2...1 | ....2)|   m49=|XXx......|..........|..........|..........|..xXx.xXXx| 
05-06-36-39-46-+6    (2017/11/27 L)  n°  115  |..X.. |1302134| |   m10=|.XX.........XX.X.|  (..... | 2..21)|   m49=|...xXXx..|..........|..........|.....xXxxX|x....xXx..| 
